"Číslo projektu","Soutěž","Komise","Uchazeč","Fakulta","Klíčová slova","Trvání","Název"
"20-16890S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Metropolitní univerzita Praha, o.p.s.",,"národní identita;významný druhý;politika identity;Česká republika;Jihoafrická republika;migrace;diskurz",3,"Národní identita a ten ""druhý"" v éře globalizace: srovnávací studie mezi Českou a Jihoafrickou republikou"
"20-16900Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Matematický ústav AV ČR, v.v.i.",,"forcing;forcingové axiomy;dichotomie P-ideálů;kardinální charakteristiky kontinua;ultrafiltr;kompaktní princip;stromová vlastnost;diamantové principy",3,"Forcing, PID a kombinatorika na malých nekonečných kardinálech"
"20-16916S","Standardní projekty – 2020","Oborová komise technických věd","Ústav informatiky AV ČR, v.v.i.",,"komplexní sítě;Grangerova kauzalita;teorie informace;nelinearita",3,"Síťové modely komplexních systémů: od korelačních grafů k informačním hypergrafům"
"20-16928S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoká škola ekonomická v Praze","Fakulta financí a účetnictví","kapitálová struktura; teorie; optimalizace; podnik;",3,"Nové teoretické přístupy k řízení kapitálové struktury"
"20-16944S","Standardní projekty – 2020","Oborová komise technických věd","Západočeská univerzita v Plzni","Fakulta elektrotechnická","magnetické ovládání;lokalizace;magnetické elastomery;manipulace",3,"Magnetické ovládání nevázaných tuhých a měkkých těles na rovinných plochách"
"20-16959S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Západočeská univerzita v Plzni","Fakulta filozofická","sportovní diplomacie;Česká republika;obsahová analýza",3,"Sportovní diplomacie v České republice. Nedostatek praxe, či (pouze) nedostatek akademického zájmu?"
"20-16963J","Mezinárodní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Mikrobiologický ústav AV ČR, v.v.i.",,"půdní mikrobiologie;změna klimatu;land use;bakterie;houby;ekologie mikroorganismů",3,"microBRsoil: Předpověď antropogenních vlivů na půdu v Brazílii"
"20-16971S","Standardní projekty – 2020","Oborová komise technických věd","Vysoká škola chemicko-technologická v Praze","Fakulta chemické technologie","mechanické legování;nanokrystalické;kompozit;vysoká entropie;řiditelné vlastnosti",3,"Příprava a charakterizace nanokrystalických kompozitních slitin s vysokou entropií a řiditelnými vlastnostmi"
"20-16992S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Jihočeská univerzita v Českých Budějovicích","Zemědělská fakulta","příhraničí; obec; společnost; venkovský prostor",3,"Příhraniční oblasti před a po druhé světové válce - vývoj území a života v něm"
"20-17016S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Masarykova univerzita","Přírodovědecká fakulta","střevní;mikrobiota; složení;mikrobiomu; imunomodulace; metabolomika; hmotnostní;spektrometrie; sekvenování;16S;rRNA;genů; metabolické;markery; zánět; autoimunitní;onemocnění; metabolický;syndrome; suchá;krevní;kapka; smolka",3,"Funkční charakterizace metabolitů lidské střevní mikrobioty"
"20-17037S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Geofyzikální ústav AV ČR, v.v.i.",,"Seismologie; Tomografie; Anizotropie; Litosféra; Astenosféra; Alpy",3,"Struktura litosféry a dynamika svrchního pláště v širším okolí kontaktu Adriatické a Evropské desky pomocí sdružené anizotropně-izotropní tomografie"
"20-17059S","Standardní projekty – 2020","Oborová komise technických věd","Fyzikální ústav AV ČR, v.v.i.",,"dvojčatění;mikrostruktura;vodivost;EBSD;značná-plastická-deformace",3,"Nanodvojčata generovaná extrémní plastickou deformací v ultrajemnozrnných elektrovodných materiálech"
"20-17063S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Mikrobiologický ústav AV ČR, v.v.i.",,"mykorhiza; půda; dekompozice; cyklus uhlíku; kořeny",3,"Vliv interakcí rostlin a hub na koloběh uhlíku a živin v ekosystému jehličnatých lesů"
"20-17071S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Jihočeská univerzita v Českých Budějovicích","Teologická fakulta","Bible; Tóra; Starý zákon; Nový zákon; právo; mudrosloví; teologie; interpretace; hermeneutika",3,"Tóra a mudrosloví: mudroslovné aspekty Tóry jako východisko pro teologickou interpretaci starozákonních právních tradic"
"20-17085S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ostravská univerzita","Pedagogická fakulta","mobilní dotykové zařízení; iPad;základní škola speciální;individualizace;kategorizace žáků;",3,"Implementace iPadů do výuky ZŠ speciální na základě vytvořené kategorizace žáků"
"20-17092X","EXPRO - 2020","EXPRO","Biofyzikální ústav AV ČR, v.v.i.",,"RNA; DNA; struktura; skládání; molekulové rozpoznávání; prebiotická chemie; silové pole; senzor",5,"Fascinující svět nukleových kyselin: od počátku života po moderní biochemii a nanotechnologii"
"20-17102S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav fyziky plazmatu AV ČR, v. v. i.",,"atmosférický výboj;rentgenové záření;blesku-podobný výboj;rychlé neutrony;",3,"Dlouhé vysokonapěťové impulsní výboje ve vzduchu při atmosférickém tlaku, jejich dynamika a průvodní efekty"
"20-17118S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav organické chemie a biochemie AV ČR, v.v.i.",,"oprava DNA;oxidativní poškození;8-oxo-guanosin;hOGG1;odštěpení báze",3,"Odstranění poškozené DNA báze hOGG1 BER enzymem"
"20-17125S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Slezská univerzita v Opavě","Filozoficko-přírodovědecká fakulta","fyzika černých děr;akreční disky;záření;lensing",3,"Optické efekty vztažené k ekvatoriálním prstencovým akrečním strukturám obíhající kompaktní objekty"
"20-17139X","EXPRO - 2020","EXPRO","Masarykova univerzita","Filozofická fakulta","Slovanské elity;franská/karolínská říše;kulturní změna;Moravané;Češi.",5,"Po Avarech: Trasnformace elit na východním okraji franské říše"
"20-17141Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav výzkumu globální změny AV ČR, v. v. i.",,"lužní les;skleníkové plyny;klimatická změna;eddy kovariance;komorová metoda;měření
mízního toku;dendrochronologie",3,"Toky skleníkových plynů lužního lesa v měnícím se klimatu"
"20-17156S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Vysoká škola chemicko-technologická v Praze","Fakulta chemické technologie","kooperativní katalýza;karboxylace;přechodné kovy;C-H aktivace;fosfordiamidáty",3,"Fixace oxidu uhličitého kooperativní katalýzou"
"20-17173Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Univerzita Karlova","Přírodovědecká fakulta","Adaptace;Arabidopsis arenosa;lokální adaptace;metabarcoding;RNA-sekvenování;polyploidie;mikrobiální společenstvo;reciproční transplantační experiment;transpozibilní elementy",3,"Ekologické a genomické aspekty lokální adaptace u Arabidopsis arenosa napříč výškovým gradientem"
"20-17187S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav výzkumu globální změny AV ČR, v. v. i.",,"změna klimatu; změna využívání krajiny; invazní druhy; abundance; metapopulace; mšice; predátoři;",3,"Populační dynamika slunéček v měnícím se světě"
"20-17207Y","Juniorské projekty – 2020","Oborová komise technických věd","Jihočeská univerzita v Českých Budějovicích","Fakulta rybářství a ochrany vod","informační analýza;algoritmizace;světelná mikroskopie;lokalizace-pod-limitem-rozlišení;informační-příspěvek-jednotlivého-bodu;optomechanika",3,"Informační limity ve světelné mikroskopii"
