"Číslo projektu","Soutěž","Komise","Uchazeč","Fakulta","Klíčová slova","Trvání","Název"
"20-07661S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta architektury","optimalizace;staveb; parametrické;navrhování; BIM; dřevěné;konstrukce; shape;grammar;",3,"ADAPTIVNÍ SPOJE Konstrukční algoritmický překlad architektury dřevostaveb"
"20-07674S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Jihočeská univerzita v Českých Budějovicích","Přírodovědecká fakulta","mikrobiom; symbióza; hmyz; bakterie; horizontalní přenos genů; genomika; pangenom; metagenomika;",3,"Mikrobiomy krevsajícího  hmyzu: diverzita a dynamika genomických procesů"
"20-07688S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Karlova","Přírodovědecká fakulta","Bioreaktor;elektrochemická detekce;enzymatický biosensor;porézní elektrody;průtoková měření",3,"Konstrukce elektrochemických průtokových enzymových biosenzorů založených na kombinaci bioreaktor-detektor"
"20-07690S","Standardní projekty – 2020","Oborová komise technických věd","Fyzikální ústav AV ČR, v.v.i.",,"Dopované vrstvy;Germanium;Kalcium;diamantu-podobný uhlík;laserová depozice;biokompatibilita",3,"Perspektivní uhlíkové nanokompozitní biomateriály připravené laserovými technologiemi"
"20-07707S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Fyziologický ústav AV ČR, v.v.i.",,"srdce; ischemie/reperfuze; srdeční selhání; neurotrofiny; BDNF;",3,"Úloha mozkového neurotrofního faktoru BDNF (brain derived neurotrophic factor) v ischémii myokardu a srdečním selhání: Analýza odpovědných mechanizmů"
"20-07711S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Technická univerzita v Liberci","Fakulta přírodovědně-humanitní a pedagogická","nanovlákna;kompozitní nitě;tkáňové inženýrství kostí;tkáňový nosič;in vitro test;in vivo test;",3,"Trojrozměrné tkáňové nosiče z kompozitních nanovlákenných přízí osazených buněčnou populací"
"20-07724S","Standardní projekty – 2020","Oborová komise technických věd","Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",,"3D grafenový zeolity templátovaný uhlíkatý materiál;katalytická hydrogenace;kovové klastry;uhlíkaté katalyzátory;Pt;Rh;Pd",3,"Nanostrukturované 3D grafenové katalyzátory"
"20-07748S","Standardní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta strojní","rázové vlny;mezní vrstva;přechod;odtržení proudu;supersonické proudění;lopatková mříž",3,"Numerické a experimentální modelování přechodu v mezní vrstvě odtržené vlivem interakce s rázovou vlnou"
"20-07753Y","Juniorské projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Univerzitní centrum energeticky efektivních budov","Cirkadianní rytmus;oslnění;čitelnost;prostorová distirbuce;přímé a nepřímé osvětlení;spektrální distribuce;rozložení v čase;sluneční světlo;stínění; autonomie denního světla",3,"Osvětlení ve školních učebnách - zrakový komfort a biologické potřeby dospívajících"
"20-07769X","EXPRO - 2020","EXPRO","Ústav organické chemie a biochemie AV ČR, v.v.i.",,"NMR spektroskopie;krystalografie;molekulová dynamika;kvantově-chemické výpočty",5,"Nové metody pro určování pozic vodíkových atomů a NMR krystalografie neuspořádaných materiálů"
"20-07776S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"Lymská borelióza;spirochety;patogenní druhy;sexuální přenos;myší model",3,"Sexuální přenos patogenních druhů spirochet lymské boreliózy na modelu myší."
"20-07782S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Univerzita Karlova","Přírodovědecká fakulta","Fylogeografie; populační genetika; demografie; disperzní koridory; čtvrtohory; klimatické změny; plazi",3,"Srovnávací fylogeografie šupinatých plazů v extrémních podmínkách arabských pouští"
"20-07795S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Karlova","Přírodovědecká fakulta","půdy; arzen; mobilita; fosforečné hnojivo",3,"Vliv fosforečných hnojiv na mobilitu arzenu v zemědělských oblastech"
"20-07846S","Standardní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta strojní","kolagen;reologické metody;vytlačovací reometr;dielektrické vlastnosti;ozáření elektrony;gama
záření",3,"Využití mechanických a strukturálních vlastností biopolymeru pro jeho zpracování"
"20-07880S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","České vysoké učení technické v Praze","Fakulta jaderná a fyzikálně inženýrská","integrabilní systémy;superintegrabilní systémy;Hamiltonovské systémy;zobecněné potenciály;magnetická pole",3,"Superintegrabilní systémy vyššího řádu v klasické a kvantové mechanice v magnetických polích"
"20-07908S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Astronomický ústav AV ČR, v.v.i.",,"Magnetická rekonexe;Slunce;Sluneční erupce;X-záření;UV záření;rádiové záření",3,"Třírozměrná magnetická rekonexe v počátečních fázích slunečních erupcí: Pozorování a Standardní model ve 3D"
"20-07912S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Masarykova univerzita","Přírodovědecká fakulta","ftaláty;mikrobiom;gastro-intestinalní trakt;metabolická disrupce",3,"Role mikrobiálně-střevního systému na ftaláty indukovanou metabolickou disrupci"
"20-07920S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Biologické centrum AV ČR, v.v.i.",,"Lymeská borrelióza;Borrelia;Borrelia afzelii;Borrelia burgdorferi;klíště;Ixodes;Ixodes ricinus;přenos patogenů;vakcína;peritrofická membrána;",3,"Interakce Borrelia – klíštěcí střevo: cíl pro boj s Lymeskou borreliózou"
"20-07931S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Národní ústav duševního zdraví",,"ruminace;emoce;spouštěč;osobnost;deprese;metoda experience sampling",3,"Dynamika ruminace a emocí v průběhu deprese: forma a funkce"
"20-07949X","EXPRO - 2020","EXPRO","Vysoké učení technické v Brně","Fakulta chemická","termofily; polyhydroxyalkanoáty; bioplasty; biotechnologie; odpady; stres",5,"Studium produkce polyhydroxyalkanoátů s využitím termofilních bakterií"
"20-07954S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Geofyzikální ústav AV ČR, v.v.i.",,"oxidy železa;magnetická susceptibilita;pedogeneze;mateční hornina;prvkové složení;environmentální magnetizmus",3,"Charakterizace pedogenních procesů pomocí magnetických a geochemických analýz v souvislostech dlouhodobé dynamiky lesních půd"
"20-07965S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Jihočeská univerzita v Českých Budějovicích","Filozofická fakulta","krajina;reprezentace; obrozenská literatura;literární diskurzy;romantismus;klasicismus",3,"Literární reprezentace české krajiny na sklonku 18. a v první polovině 19. století ve středoevropském kontextu"
"20-07977S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Karlova","Matematicko-fyzikální fakulta","dvojhvězdy;zákrytové dvojhvězdy;fotometrie;spektroskopie;vznik hvězd;nebeská mechanika;hvězdy:kinematika a dynamika;",3,"Čtyřnásobné hvězdné systémy"
"20-07983Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Geologický ústav AV ČR, v.v.i.",,"Letokruhy stromů;geochemický archív;historické znečištění;emise Hg;kontaminace;Hg;rtuť; stabilní izotopy Hg; atmosférická depozice; monitoring znečištění",3,"Využití letokruhů stromů jako spolehlivého geochemického archívu k rekonstrukci historických změn emisí rtuti"
"20-07996S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Vysoká škola chemicko-technologická v Praze","Fakulta potravinářské a biochemické technologie","Volné;radikály; povrchově;zesílená;Ramanova;spektroskopie;(SERS); potraviny",3,"Studium volných radikálů povrchově zesílenou Ramanovou spektroskopií"
"20-08009S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Mikrobiologický ústav AV ČR, v.v.i.",,"MLSb rezistence;hybridní linkosamid;23S rRNA;antibiotická aktivita",3,"Hybridní linkosamidová antibiotika - slibní kandidáti k překonání rezistence k makrolidům-linkosamidům-streptograminu B (MLSb)"
"20-08013L","Lead Agency - 2020","kontrola","Masarykova univerzita","Přírodovědecká fakulta","Dánio pruhované;expozice;laserové spektroskopie;mikročástice;počítačová tomografie",3,"Integrační přístupy ve výzkumu mikročástic"
"20-08021S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav anorganické chemie AV ČR, v.v.i.",,"antropocén; říční nivy; povodňové sedimenty; geochemie; magnetomineralogie;nivní stratigrafie",3,"Antropocén v říčních nivách"
"20-08032S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Matematický ústav AV ČR, v.v.i.",,"Navierovy-Stokesovy rovnice;MHD rovnice;mikropolární tekutina;regularita;robustnost;smykové okrajové podmínky;umělá hranice;struktura množiny stacionárních řešení;",3,"Témata z teorie Navierových-Stokesových a příbuzných rovnic"
"20-08045J","Mezinárodní projekty – 2020","Oborová komise technických věd","Ústav fyziky materiálů AV ČR, v.v.i.",,"9-12% Cr ferritické žárupevné oceli;creep;deformace;porušování;creepový lom;mikrostruktura;sekundární fáze;precipitace;",3,"Vliv chromu na creepové mechanismy martenzitických ocelí s nízkým obsahem dusíku"
"20-08050S","Standardní projekty – 2020","Oborová komise technických věd","Ústav chemických procesů AV ČR, v.v.i.",,"skladování energie;tepelná energie;tepelný akumulátor;termofyzikální vlastnosti;PCM;TCM",3,"Komplexní přístup ke skladování tepelné energie: od laboratorních experimentů po energetickou simulaci budov"
"20-08066S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Sociologický ústav AV ČR, v.v.i.",,"korupce; důvěra; morálka; riziko postihu; kvantitativní metody; experiment",3,"Korupční klima v České republice: role osobní morálky, vnímaného rizika postihu a institucionální důvěry"
"20-08084J","Mezinárodní projekty – 2020","Oborová komise lékařských a biologických věd","Fyziologický ústav AV ČR, v.v.i.",,"arecaidin;muskarinové receptory;kognice;paměť;potkan",3,"Účinek dipeptidových derivátů arecaidinu na kognici a paměť"
"20-08097J","Mezinárodní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Právnická fakulta","Investice;investor;spravedlivé zacházení;vyvlastnění;administrativní zásahy do podnikání;nadnárodní společnosti;lidská práva;bezpečnost;kompenzace;právo EU;vnitrostátní právní rámec;mezinárodní právo zahraničních investic;celní unie;zóna volného obchodu",3,"Veřejnoprávní ochrana zahraničních investic v Ruské Federaci a  v České republice: komparativní analýza"
"20-08107S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Botanický ústav AV ČR, v. v. i.",,"frekvence a intenzita disturbancí;změna klimatu;homogenizace biotopů;kontinuita biotopu;historie budování rybníků;využití krajiny;cévnaté rostliny;mechorosty;vážky;pakomáři;měkkýši;rozsivky;semenná banka;makrozbytky;rybniční hospodaření",3,"Klíčové faktory určující současnou biodiverzitu starobylých rybníků"
"20-08111S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Fakultní nemocnice Hradec Králové",,"Toll-like receptor 4-(TLR4);adjuvans;vakcíny; vrozená imunita",3,"Studium vztahu mezi strukturou a aktivitou a vliv izomerie na vnitřní aktivitu nových ligandů TLR4 receptoru"
"20-08124S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Univerzita Karlova","Přírodovědecká fakulta","Pythium oligandrum;virová infekce;biologická ochrana rostlin;oligandriny",3,"Může interakce oligandrinů s rostlinnými obrannými mechanismy ovlivnit průběh virové infekce?"
"20-08153S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Masarykova univerzita","Filozofická fakulta","neolitické femininní idoly;archaeometrie keramiky;technologie;3D analýza fragmentace;mikroskopie fraktur;lengyelská kultura",3,"Revize teorií Velké matky a kultu plodnosti. Rekonstrukce technologie a manipulace s neolitickými keramickými idoly založená na analytických datech."
"20-08169S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav fyziky materiálů AV ČR, v.v.i.",,"antifázové hranice;magnetismus; uspořádání; defekty; vakance;positronová anihilace;magneto-optika; kvantově-mechanické výpočty;Mössbauer;",3,"Vliv antifázových hranic a dalších defektů na magnetismus (Ti,Fe,Co)-(Si,Al)"
"20-08182S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Česká geologická služba",,"Český masív; karbon; perm; stomatální index; hustota průduchů; Cordaites; kutikuly.",3,"Hustota průduchů a stomatální indexy kordaitů jako ukazetelé změn CO2 v permokarbonské paleoatmosféře"
"20-08195S","Standardní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Kloknerův ústav","lepený spoj;stavebnictví;konstrukční lepidlo;polotuhé lepidlo;degradační účinek;vlhkost;dlouhodobé namáhání;statické zatížení;zbytková únosnost;způsob porušení;dotvarování;lepení;odolnost;akrylát;polyuretan;hliník",3,"Společný vliv dlouhodobého statického namáhání a vlhkosti na mechanické vlastnosti spoje polotuhých lepidel pro stavebnictví"
"20-08202Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Česká zemědělská univerzita v Praze","Fakulta agrobiologie, potravinových a přírodních zdrojů","antioxidanty;buněčný metabolismus;gamety;gasotransmitery;oxidativní stres;uchování spermatu",3,"Úloha sulfanu v biologii spermií: principy a biotechnologické využití"
"20-08225Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Ústav fyziky atmosféry AV ČR, v. v. i.",,"nízkofrekvenční plazmové vlny; magnetosféra; Cassini; Galileo; Juno; Saturn; Jupiter",3,"Nízkofrekvenční plazmové vlny pozorované ve vnitřní magnetosféře Saturnu a Jupiteru"
"20-08260X","EXPRO - 2020","EXPRO","Matematický ústav AV ČR, v.v.i.",,"Eulerovský popis; Symetricko-hyperbolický termodynamicko-konzistentní popis;interakce-těleso-tekutina;řešení;slabé;silné;řešení v mírách;Navier-Stokes-Fourierovy rovnice;metoda konečných prvků a objemů;stabilita;konvergence;numerická simulace",5,"Tuhá tělesa a tekutiny společně: Nový termodynamický koncept, matematická teorie a numerika"
"20-08287S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Přírodovědecká fakulta","určovací klíč;výukový prostředek;vyučovací metoda;historie;střední Evropa;seberegulované formy učení;přírodopis;biologie",3,"Určovací klíče - historie a budoucnost školní pomůcky"
"20-08304J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav chemických procesů AV ČR, v.v.i.",,"Prostorově-časová variabilita aerosolu;;paralelní měření na více stanicích;;online a offline chemické složení aerosolů;;chemický transportní
model;;receptorové modelování;;regionální a dálkový přenos znečištění;;;kvalita ovzduší",3,"Transport a přeměna atmosférického aerosolu v rámci střední Evropy s důrazem na antropogenní zdroje"
"20-08315S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Filozofická fakulta","rakev; sarkofág; pohřeb; výroba; společnost; hospodářství; sociální sítě; náboženství; Egypt; Stará říše; První přechodná doba",3,"Staroegyptské pohřební schrány (2650–2050 př.n.l.). Mikrohistorie předmětů."
"20-08336S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Masarykova univerzita","Přírodovědecká fakulta","hmyz; mery; Sternorrhyncha; entomologie; systematika; molekulární fylogenetika; taxonomie; bioakustika; substrátové vibrace",3,"Fylogeneze a vibrační komunikace mer rodu Cacopsylla (Hemiptera: Psylloidea) se zřetelem k přenašečům fytoplazem"
"20-08343S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ústav pro jazyk český AV ČR, v.v.i.",,"lingvistika;onomastika;lidová etymologie;vlastní jména",3,"Lidová etymologie vlastních jmen"
"20-08358S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Matematický ústav AV ČR, v.v.i.",,"peridynamika;nelokální elasticita;frakcionální;tenzor deformace;gradient;křivost a míra hranice;
Eulerovy-Lagrangeovy rovnice;asymptotika k nulové nelokalitě",3,"Použití a role hypersingulárních integrálů a neceločíselných mocnin operátorů při modelování nelokálních jevů v peridynamice"
"20-08362S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Masarykův ústav a Archiv AV ČR, v.v.i.",,"Československo; Blízký;východ; export; velká;hospodářská;krize; zbraně",3,"Československý export na Blízký východ a jeho proměna ve třicátých letech 20. století v důsledku velké hospodářské krize"
"20-08391S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Centrum pro otázky životního prostředí","udržitelnost; environmentální stopa; planetární meze; multi-regionální input-output analýza; využití území; zemědělství; strava; scénáře;;",3,"Minulé a budoucí národní environmentální stopy v kontextu překročených planetárních mezí"
"20-08406Y","Juniorské projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta strojního inženýrství","Poddajný kontakt;optické metody;interferometrie;fluorescence;tření;mazání;pryž;netěsnost;těsnění",3,"Studium utváření mazacího filmu v poddajném kontaktu"
"20-08410S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Ústav makromolekulární chemie AV ČR, v.v.i.",,"glioblastom; kmenové nádorové buňky; polymerní léčiva; exosomy; sferoidy; neoplastistická angiogeneze;",3,"Podíl nádorových kmenových buněk a exosomů na neoplastické angiogenezi v glioblastomu a experimentální terapie polymerními léčivy"
"20-08423J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav experimentální botaniky AV ČR, v.v.i.",,"Triterpen;polyamin;aminokyselina;supramolekula;samoskladba;gel;SEM;TEM",3,"Triterpenové deriváty s aminy, polyaminy a aminokyselinami pro výzkum v supramolekulární chemické biologii"
"20-08434S","Standardní projekty – 2020","Oborová komise technických věd","Ústav makromolekulární chemie AV ČR, v.v.i.",,"polymerní kompozity; reologie; elasticita; mezifází",3,"Elasticita tavenin polymerních kompozitů s řízeným fázovým rozhraním"
"20-08447S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav chemických procesů AV ČR, v.v.i.",,"fotocyklizace; helicen; azahelicen",3,"Chirální karbohelicenové a azahelicenové deriváty jako nové luminiscenční materiály pro aplikace v organické molekulární elektronice"
"20-08499X","EXPRO - 2020","EXPRO","Univerzita Karlova","Matematicko-fyzikální fakulta","reprezentace nestrukturovaných dat;vyhledávání podle obsahu;datová vizualizace;hluboké učení;podobnostní vyhledávání;kvalita vizualizace;",5,"Reprezentace nestrukturovaných dat pomocí vizualizací a hlubokého učení"
"20-08512S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Slezská univerzita v Opavě","Obchodně podnikatelská fakulta v Karviné","finanční řízení;průmysl 4.0;umělá inteligence;investice;ekonomická výkonnost",3,"Průmysl 4.0 a jeho vliv na finanční řízení podniků"
"20-08520S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Slezská univerzita v Opavě","Filozoficko-přírodovědecká fakulta","královská reprezentace;země Koruny české;soudní moc;dějiny práva;Slezsko",3,"Král jako soudce. Smírčí role českých králů ve slezských knížectvích pozdního středověku"
"20-08531S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Západočeská univerzita v Plzni","Fakulta filozofická","Wittgensteinova filosofie;umělá inteligence;myšlení;jazyk;vnímání;Turingův stroj;Turingův test",3,"Reflexe umělé inteligence v kontextu Wittgensteinovy filosofie"
"20-08549X","EXPRO - 2020","EXPRO","Vysoké učení technické v Brně","Středoevropský technologický institut","fingerprinting; elekroforéza; diagnostika;",5,"Buňky jako chytré interaktivní fáze pro bioanalytické metody využívající mikrokolonové separační techniky"
"20-08554S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Masarykova univerzita","Fakulta sociálních studií","pracovní spokojenost;pracovní výkon;kauzalita;experiment;deníčková studie",3,"Kauzalita vztahu mezi spokojeností a výkonem: Nové designy a nové důkazy"
"20-08565S","Standardní projekty – 2020","Oborová komise technických věd","Univerzita Pardubice","Fakulta chemicko-technologická","perovskity;studené pigmenty;difúzní odrazivost;solární odrazivost;NIR pigmenty;reakce v pevné fázi",3,"Syntéza a charakterizace NIR odrazivých perovskitových sloučenin"
"20-08577J","Mezinárodní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Karlova","Lékařská fakulta v Plzni","decelularizace;tkanove inzenyrstvi;jaterni skelet;interakce bunka-skelet;endotelove bunky;hepatocyty;jaterni funkce;tkanovy implantat",3,"Příprava funkční tkáně pro léčbu jaterní nedostatečnosti: Interakce podmiňující úspěšnou buněčnou repopulaci decelularizovaných prasečích jater"
"20-08596S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ústav archeologické památkové péče Brno, v.v.i.",,"doba železná; Morava; Keltové; centrální aglomerace; výroba; rituální areál;",3,"Centrální aglomerace Němčice nad Hanou. Interdispciplinární výzkum klíčové lokality pro poznání doby laténské na Moravě."
"20-08614S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav organické chemie a biochemie AV ČR, v.v.i.",,"kapilární elektroforéza;hmotnostní spektrometrie;nanosprejová ionizace;metabolity;analýza proteinů;anestézie;glykopeptid",3,"Vývoj v oblasti online kombinace kapilární elektroforézy s hmotnostní spektrometrií pro bioanalytické aplikace"
"20-08646S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Masarykova univerzita","Přírodovědecká fakulta","chemical bond;;trans vliv;;výpočty ab initio;;vazebná izomerie",3,"Principy trans-vlivu a cis-vlivu, symbiózy a antisymbiózy v koordinační chemii: pokus o konzistentní a kvantitativní teoretický model"
"20-08680Y","Juniorské projekty – 2020","Oborová komise technických věd","Ústav chemických procesů AV ČR, v.v.i.",,"hydrogel-jílový nanokompozit;mechanická pevnost;visko-elastické vlastnosti;adsorpční vlastnosti;",3,"Hydrogelo-jílové nanokompozity: mechanické vlastnosti a adsorpční kapacita"
"20-08701S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav experimentální botaniky AV ČR, v.v.i.",,"nespecifická fosfolipasa C;Arabidopsis thaliana;diacylglycerol;kyselina fosfatidová;enzymová aktivita;mutageneze",3,"Enzymová aktivita nespecifické fosfolipasy C z Arabidopsis: charakterizace, modifikace a vliv na fyziologické funkce"
"20-08738J","Mezinárodní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav výzkumu globální změny AV ČR, v. v. i.",,"Rozpuštěný organický uhlík;dusík;fosfor;půdní organická hmota;koloběh prvků;živiny",3,"Vztah mezi chemickým složením rozpuštěné organické hmoty a cyklem živin v lesních povodích mírného pásma"
"20-08740S","Standardní projekty – 2020","Oborová komise technických věd","Ústav makromolekulární chemie AV ČR, v.v.i.",,"biopolymer;grafen;iontová kapalina;kompozit",3,"Vytvrditelné vodivé kompozity biopolymer/grafen vhodné pro 3D tisk"
"20-08755S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoké učení technické v Brně","Fakulta podnikatelská","Trend; Komplexní; Nekonzistentní; Systém; Ekonomika; Analýza.",3,"Trendové modely komplexních a/nebo jedinečných ekonomických procesů se závažným nedostatkem informací"
"20-08764S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",,"laserová spektroskopie;overtonové vibrační přechody;supersonické paprsky;",3,"Overtonová spektroskopie malých polyatomických molekul za nízkých teplot v supersonické expanzi."
"20-08786S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Archeologický ústav AV ČR, Praha, v.v.i.",,"starší doba železná;raný středověk;elity;bioarcheologie",3,"Elity starší doby železné a raného středověku ve středním Pootaví"
"20-08793S","Standardní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta strojní","modelování výkonových prvků SiC;řízení spínání SiC;ochranná doba;frekvenční měnič;vysokorychlostní elektrické stroje;adaptace;EMC;EMI",3,"Výzkum a modelování adaptačních metod k nastavování ochranné doby frekvenčního měniče v reálném čase pro řízení vysokorychlostních elektrických strojů"
"20-08803S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Masarykova univerzita","Přírodovědecká fakulta","plazma;katalýza;povrchové reakce",3,"Studium synergie plazma-katalyzátor pro větší selektivitu plazmochemických procesů"
"20-08835Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Botanický ústav AV ČR, v. v. i.",,"Adaptace; Demografie; Ekologické niky; Eurasie;Sekvenování; Krajinná Genomika; Kvartér; Rakytník řešetlákový",3,"Přizpůsobení se důsledkům kvartéru v západní Eurasii: Pohled z éry Genomiky"
"20-08842S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Západočeská univerzita v Plzni","Fakulta filozofická","regionální řád;stabilita řádu;normy;pravidla;mezinárodní politika;institucionalizace norem;institucionalizace pravidel;instituce",3,"Studium stability regionálních řádů s ohledem na institucionalizaci norem a pravidel v současném mezinárodním systému"
"20-08857L","Lead Agency - 2020","kontrola","Vysoká škola chemicko-technologická v Praze","Fakulta technologie ochrany prostředí","heterogenní katalýza;hydrogenolýza esterů;srážené katalyzátory;promotory;Cu katalyzátory;",3,"Active sites in co-precipitated Cu-based hydrogenolysis catalysts"
"20-08861J","Mezinárodní projekty – 2020","Oborová komise lékařských a biologických věd","Masarykova univerzita","Středoevropský technologický institut","dědičný kolorektální karcinom;mutace;genotypizace;mikrosatelitní nestabilita",3,"Identifikace nových genů spojených s dědičným kolorektálním karcinomem v zemích s převážně slovanskou populací"
"20-08874S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav organické chemie a biochemie AV ČR, v.v.i.",,"pyrimidiny; syntéza; inhibitory mPGES-1; protizánětlivé látky; COX-1/2",3,"Vývoj pyrimidinových inhibitorů mPGES-1 s protizánětlivými vlastnostmi"
"20-08888S","Standardní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta stavební","Lithotrypse;rázové vlny;Peyroniho nemoc;močové kameny;ledvinové kameny;metoda ALE;nespojité hraniční prvky;únavové poškození;asymptotická resonance;Z-transformace",3,"Odstraňování vybraných intracorporálních vad poškozením jejich struktury pomocí opakovaného rázového zatížení: sdružené modelování"
"20-08890X","EXPRO - 2020","EXPRO","Univerzita Karlova","Matematicko-fyzikální fakulta","variačnípočet;geomerickáanalýza",5,"Modely nelineární elasticity - regularita a aproximace"
"20-08916S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Masarykova univerzita","Přírodovědecká fakulta","znečištění vody; emergentní mikropolutanty; pesticidy; veterinární antibiotika; denitrifikace; biodegradace; mikrokosmos; ekotoxicita; mikrobiom;",3,"Osud a účinky emergentních mikropolutantů vody v denitrifikačních mikrokosmech"
"20-08928S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"klíště;Ixodes ricinus;metabolismus;RNA interference;borélie;babézie",3,"Identifikace klíčových energetických zdrojů využívaných klíštětem při jeho sání a přenosu patogenů"
"20-08937S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Masarykova univerzita","Středoevropský technologický institut","metalokomplex;supramolekulární vazba;komplex host-hostitel;platina(IV);ruthenium(III);cyklodextrin;kukurbit[n]uril;makrocyklus;rotaxan;paramagnetická NMR;hyperjemný efekt;prostorový;spin-dipolární;lanthanoid;elektronový spinový stav",3,"Vývoj magnetických a luminiscenčních sond pro supramolekulární metaloléčiva"
"20-08944S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Tomáše Bati ve Zlíně","Fakulta multimediálních komunikací","rozhodovací procesy;hodnoty; postoje; motivace; adolescenti; generace Z;trh se vzděláním;PR vysokých škol;behaviorální ekonomika",3,"Motivace, charakteristiky a prediktory rozhodovacího procesu adolescentů při výběru vysokých škol vzhledem k studijním oborům"
